AGGREGATE,A,38382,10561070,1.13289e+008
AGGREGATE,B,1281996,182509133,6.91476e+009
AGGREGATE,C,128203,36267886,9.82674e+008
AGGREGATE,D,8153613,1943134266,6.42176e+010
AGGREGATE,E,0,0,0
AGGREGATE,J,1074688,164127661,5.37935e+009
AGGREGATE,K,2456911,478600782,1.72889e+010
AGGREGATE,M,2190,4293624,3.15383e+008
AGGREGATE,N,2091359,503957914,1.8558e+010
AGGREGATE,P,3434434,567855517,2.67506e+010
AGGREGATE,Q,6394996,992961721,4.13691e+010
AGGREGATE,W,162739,25247553,8.38578e+008
AGGREGATE,X,145255,28326593,1.15313e+009
AGGREGATE,Y,874766,126466961,4.54685e+009
AGGREGATE,Z,3271530,544120991,2.07704e+010
